,addr_pct_cd,boro_nm,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_num,cmplnt_to_dt,cmplnt_to_tm,crm_atpt_cptd_cd,hadevelopt,housing_psa,juris_desc,jurisdiction_code,ky_cd,lat_lon.latitude,lat_lon.longitude,latitude,law_cat_cd,loc_of_occur_desc,longitude,ofns_desc,parks_nm,patrol_boro,pd_cd,pd_desc,prem_typ_desc,rpt_dt,station_name,susp_age_group,susp_race,susp_sex,transit_district,vic_age_group,vic_race,vic_sex,x_coord_cd,y_coord_cd
11,47,BRONX,2018-01-01T00:00:00.000,17:00:00,475905206,,,COMPLETED,,,N.Y. POLICE DEPT,0.0,107,40.880239687,-73.848691106,40.88023968700002,FELONY,INSIDE,-73.84869110599993,BURGLARY,,PATROL BORO BRONX,224.0,"BURGLARY,RESIDENCE,UNKNOWN TIM",RESIDENCE - APT. HOUSE,2018-01-30T00:00:00.000,,25-44,BLACK,M,,25-44,BLACK,M,1026092.0,260006.0
12,67,BROOKLYN,2018-01-01T00:00:00.000,08:34:00,687358856,2018-01-01T00:00:00.000,08:35:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,578,40.664054465,-73.92187729999999,40.66405446500005,VIOLATION,INSIDE,-73.92187729999995,HARRASSMENT 2,,PATROL BORO BKLYN SOUTH,638.0,"HARASSMENT,SUBD 3,4,5",CHAIN STORE,2018-01-01T00:00:00.000,,UNKNOWN,UNKNOWN,U,,UNKNOWN,UNKNOWN,D,1005924.0,181216.0
13,81,BROOKLYN,2018-01-01T00:00:00.000,20:15:00,148156133,2018-01-01T00:00:00.000,20:30:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,578,40.692463064,-73.935442415,40.69246306400004,VIOLATION,INSIDE,-73.93544241499995,HARRASSMENT 2,,PATROL BORO BKLYN NORTH,638.0,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,2018-01-01T00:00:00.000,,18-24,BLACK,F,,25-44,BLACK,F,1002153.0,191563.0
14,14,MANHATTAN,2018-01-01T00:00:00.000,02:50:00,638990882,2018-01-01T00:00:00.000,03:00:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,344,40.757317199,-73.98788056,40.757317199000056,MISDEMEANOR,INSIDE,-73.98788055999995,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO MAN SOUTH,101.0,ASSAULT 3,HOTEL/MOTEL,2018-01-01T00:00:00.000,,25-44,WHITE,M,,25-44,WHITE,F,987608.0,215185.0
15,24,MANHATTAN,2018-01-01T00:00:00.000,00:01:00,158379350,2018-07-28T00:00:00.000,16:57:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,351,40.789596101,-73.975484295,40.78959610100002,MISDEMEANOR,,-73.97548429499993,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO MAN NORTH,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",OTHER,2018-07-28T00:00:00.000,,UNKNOWN,UNKNOWN,U,,UNKNOWN,UNKNOWN,E,991039.0,226946.0
16,18,MANHATTAN,2018-01-01T00:00:00.000,01:25:00,274030188,2018-01-01T00:00:00.000,02:00:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,109,40.765685865,-73.987351977,40.76568586500007,FELONY,INSIDE,-73.98735197699995,GRAND LARCENY,,PATROL BORO MAN SOUTH,416.0,"LARCENY,GRAND FROM NIGHT CLUB, UNATTENDED",BAR/NIGHT CLUB,2018-01-01T00:00:00.000,,,,,,45-64,WHITE,F,987754.0,218234.0
17,49,BRONX,2018-01-01T00:00:00.000,00:00:00,832922589,,,COMPLETED,,,N.Y. POLICE DEPT,0.0,112,40.845056985999996,-73.863192275,40.84505698600003,FELONY,INSIDE,-73.86319227499997,THEFT-FRAUD,,PATROL BORO BRONX,739.0,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,2018-06-07T00:00:00.000,,,,,,45-64,WHITE HISPANIC,F,1022102.0,247181.0
18,103,QUEENS,2018-01-01T00:00:00.000,12:00:00,554448370,2018-08-10T00:00:00.000,12:00:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,351,40.699609957,-73.81060232899999,40.699609957000064,MISDEMEANOR,,-73.81060232899993,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO QUEENS SOUTH,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",TUNNEL,2018-08-10T00:00:00.000,,,,,,UNKNOWN,UNKNOWN,E,1036767.0,194217.0
19,104,QUEENS,2018-01-01T00:00:00.000,00:01:00,410449652,2018-05-30T00:00:00.000,21:00:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,351,40.694484943,-73.896465122,40.69448494300008,MISDEMEANOR,,-73.89646512199994,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO QUEENS NORTH,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",STREET,2018-05-30T00:00:00.000,,,,,,UNKNOWN,UNKNOWN,E,1012961.0,192310.0
20,24,MANHATTAN,2018-01-01T00:00:00.000,00:01:00,533214499,2018-06-08T00:00:00.000,20:10:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,351,40.796097894,-73.963350337,40.79609789400007,MISDEMEANOR,,-73.96335033699995,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO MAN NORTH,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",STREET,2018-06-08T00:00:00.000,,UNKNOWN,UNKNOWN,U,,UNKNOWN,UNKNOWN,E,994398.0,229316.0
